"Story","Title","Result","Date","Stability","Duration (s)"
"Test feature","test scenario 1","SUCCESS","2020-06-07T12:24:44.927+01:00[Europe/London]","0.0","13.9"
"Test feature","test scenario 2","ERROR","2020-06-07T12:24:58.834+01:00[Europe/London]","0.0","0.67"
